codigo;nome;ano_2019;ano_2020
330010;ANGRA DOS REIS;841;147
330015;APERIBE;44;27
330020;ARARUAMA;155;35
330022;AREAL;2;4
330023;ARMACAO DOS BUZIOS;142;1
330025;ARRAIAL DO CABO;68;4
330030;BARRA DO PIRAI;631;40
330040;BARRA MANSA;441;58
330045;BELFORD ROXO;454;12
330050;BOM JARDIM;43;0
330060;BOM JESUS DO ITABAPOANA;359;19
330070;CABO FRIO;263;82
330080;CACHOEIRAS DE MACACU;8;6
330090;CAMBUCI;7;4
330093;CARAPEBUS;24;2
330095;COMENDADOR LEVY GASPARIAN;2;0
330100;CAMPOS DOS GOYTACAZES;86;13
330110;CANTAGALO;7;0
330115;CARDOSO MOREIRA;19;13
330120;CARMO;6;2
330130;CASIMIRO DE ABREU;86;19
330140;CONCEICAO DE MACABU;53;6
330150;CORDEIRO;6;7
330160;DUAS BARRAS;5;12
330170;DUQUE DE CAXIAS;707;75
330180;ENGENHEIRO PAULO DE FRONTIN;4;16
330185;GUAPIMIRIM;17;0
330187;IGUABA GRANDE;16;34
330190;ITABORAI;786;272
330200;ITAGUAI;90;5
330205;ITALVA;19;23
330210;ITAOCARA;7;6
330220;ITAPERUNA;233;56
330225;ITATIAIA;53;26
330227;JAPERI;108;3
330230;LAJE DO MURIAE;5;0
330240;MACAE;197;44
330245;MACUCO;1;0
330250;MAGE;120;2
330260;MANGARATIBA;53;9
330270;MARICA;87;55
330280;MENDES;14;1
330285;MESQUITA;8;5
330290;MIGUEL PEREIRA;29;13
330300;MIRACEMA;733;8
330310;NATIVIDADE;101;2
330320;NILOPOLIS;30;15
330330;NITEROI;353;74
330340;NOVA FRIBURGO;12;15
330350;NOVA IGUACU;46;11
330360;PARACAMBI;23;3
330370;PARAIBA DO SUL;38;4
330380;PARATY;49;42
330385;PATY DO ALFERES;82;66
330390;PETROPOLIS;123;8
330395;PINHEIRAL;116;169
330400;PIRAI;284;79
330410;PORCIUNCULA;133;11
330411;PORTO REAL;41;23
330412;QUATIS;65;8
330414;QUEIMADOS;71;1
330415;QUISSAMA;8;0
330420;RESENDE;344;42
330430;RIO BONITO;19;3
330440;RIO CLARO;8;4
330450;RIO DAS FLORES;19;3
330452;RIO DAS OSTRAS;221;45
330455;RIO DE JANEIRO;17943;1205
330460;SANTA MARIA MADALENA;2;0
330470;SANTO ANTONIO DE PADUA;30;37
330475;SAO FRANCISCO DE ITABAPOANA;887;271
330480;SAO FIDELIS;3;14
330490;SAO GONCALO;763;14
330500;SAO JOAO DA BARRA;36;0
330510;SAO JOAO DE MERITI;141;11
330513;SAO JOSE DE UBA;36;0
330515;SAO JOSE DO VALE DO RIO PRETO;3;2
330520;SAO PEDRO DA ALDEIA;236;41
330530;SAO SEBASTIAO DO ALTO;1;0
330540;SAPUCAIA;1;2
330550;SAQUAREMA;8;44
330555;SEROPEDICA;153;4
330560;SILVA JARDIM;12;0
330570;SUMIDOURO;0;0
330575;TANGUA;21;8
330580;TERESOPOLIS;26;13
330590;TRAJANO DE MORAES;0;0
330600;TRES RIOS;85;2
330610;VALENCA;33;29
330615;VARRE-SAI;25;7
330620;VASSOURAS;278;482
330630;VOLTA REDONDA;2167;410
